"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 02 13:29:00 GMT 2021","Tue Feb 02 13:29:03 GMT 2021","3338","","Generate stud horse","","Generate stud horse","Click on Filter button in My Stable page","Click on Filter button in My Stable page",""
"passed","Tue Feb 02 13:34:17 GMT 2021","Tue Feb 02 13:34:22 GMT 2021","4578","","Purchase horse with ETH","","Purchase horse with ETH","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"failed","Tue Feb 02 13:56:13 GMT 2021","Tue Feb 02 14:01:13 GMT 2021","300006","","Dual horse cash","","Dual horse cash","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Tue Feb 02 14:26:31 GMT 2021","Tue Feb 02 14:31:31 GMT 2021","300014","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Tue Feb 02 13:40:55 GMT 2021","Tue Feb 02 13:45:55 GMT 2021","300016","","Buy horse with credit card","","Buy horse with credit card","Process payment by cash","Process payment by cash",""
"failed","Tue Feb 02 13:45:55 GMT 2021","Tue Feb 02 13:50:55 GMT 2021","300005","","Buy horse with credit card","","Buy horse with credit card","Verify that our order is performed","Verify that our order is performed",""
"failed","Tue Feb 02 14:19:44 GMT 2021","Tue Feb 02 14:24:16 GMT 2021","272249","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Tue Feb 02 14:36:32 GMT 2021","Tue Feb 02 14:41:32 GMT 2021","300005","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Tue Feb 02 13:07:37 GMT 2021","Tue Feb 02 13:07:46 GMT 2021","8747","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Feb 02 13:40:38 GMT 2021","Tue Feb 02 13:40:41 GMT 2021","2751","","Buy horse with credit card","","Buy horse with credit card","Update metamask info","Update metamask info",""
"passed","Tue Feb 02 13:34:08 GMT 2021","Tue Feb 02 13:34:17 GMT 2021","8677","","Purchase horse with ETH","","Purchase horse with ETH","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Feb 02 14:41:33 GMT 2021","Tue Feb 02 14:46:05 GMT 2021","272437","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Tue Feb 02 13:23:26 GMT 2021","Tue Feb 02 13:23:27 GMT 2021","421","","Validate the some pages on app work well","","Validate the some pages on app work well","Validate has a race open on Events page","Validate has a race open on Events page",""
"passed","Tue Feb 02 13:23:27 GMT 2021","Tue Feb 02 13:23:28 GMT 2021","456","","Validate the some pages on app work well","","Validate the some pages on app work well","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
"passed","Tue Feb 02 14:19:43 GMT 2021","Tue Feb 02 14:19:44 GMT 2021","941","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Tue Feb 02 13:29:04 GMT 2021","Tue Feb 02 13:34:04 GMT 2021","300003","","Generate stud horse","","Generate stud horse","Select horse in My stable","Select horse in My stable",""
"failed","Tue Feb 02 13:23:28 GMT 2021","Tue Feb 02 13:23:28 GMT 2021","704","","Validate the some pages on app work well","","Validate the some pages on app work well","Validate has a racehorse existing on Stable Page","Validate has a racehorse existing on Stable Page",""
"passed","Tue Feb 02 14:01:13 GMT 2021","Tue Feb 02 14:01:14 GMT 2021","1017","","Dual horse cash","","Dual horse cash","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Tue Feb 02 14:13:27 GMT 2021","Tue Feb 02 14:13:30 GMT 2021","2958","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Update metamask info","Update metamask info",""
