"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 22 16:06:29 GMT 2021","Fri Jan 22 16:06:35 GMT 2021","5468","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"passed","Fri Jan 22 15:44:26 GMT 2021","Fri Jan 22 15:44:31 GMT 2021","4420","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Check that avatar is shown then click on Marketplace link","Check that avatar is shown then click on Marketplace link",""
"failed","Fri Jan 22 17:53:19 GMT 2021","Fri Jan 22 17:53:19 GMT 2021","447","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Fri Jan 22 17:53:19 GMT 2021","Fri Jan 22 17:58:19 GMT 2021","300033","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"failed","Fri Jan 22 17:53:18 GMT 2021","Fri Jan 22 17:53:19 GMT 2021","824","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Fri Jan 22 15:33:02 GMT 2021","Fri Jan 22 15:33:03 GMT 2021","1541","","Generate stud horse","","Generate stud horse","Proceed breeding steps","Proceed breeding steps",""
"failed","Fri Jan 22 15:44:31 GMT 2021","Fri Jan 22 15:49:31 GMT 2021","300025","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"failed","Fri Jan 22 17:33:14 GMT 2021","Fri Jan 22 17:33:15 GMT 2021","817","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Fri Jan 22 16:12:08 GMT 2021","Fri Jan 22 16:12:13 GMT 2021","4341","","Purchase horse with ETH","","Purchase horse with ETH","Update metamask info","Update metamask info",""
"failed","Fri Jan 22 16:33:31 GMT 2021","Fri Jan 22 16:33:31 GMT 2021","37","","Dual horse cash","","Dual horse cash","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
