"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 20 13:41:45 GMT 2021","Sat Mar 20 13:43:45 GMT 2021","120011","","Generate stud horse","","Generate stud horse","Select horse in My stable","Select horse in My stable",""
"passed","Sat Mar 20 14:24:45 GMT 2021","Sat Mar 20 14:24:46 GMT 2021","770","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"passed","Sat Mar 20 14:10:50 GMT 2021","Sat Mar 20 14:11:09 GMT 2021","18794","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Sat Mar 20 14:16:20 GMT 2021","Sat Mar 20 14:16:21 GMT 2021","1050","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Sat Mar 20 13:37:43 GMT 2021","Sat Mar 20 13:37:58 GMT 2021","15042","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Sat Mar 20 13:19:36 GMT 2021","Sat Mar 20 13:19:39 GMT 2021","3295","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Process the checkout with ETH","Process the checkout with ETH",""
"passed","Sat Mar 20 13:19:05 GMT 2021","Sat Mar 20 13:19:10 GMT 2021","5267","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Update metamask info","Update metamask info",""
"passed","Sat Mar 20 14:04:47 GMT 2021","Sat Mar 20 14:04:59 GMT 2021","12251","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Sat Mar 20 14:20:02 GMT 2021","Sat Mar 20 14:20:28 GMT 2021","26125","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Sat Mar 20 14:17:47 GMT 2021","Sat Mar 20 14:17:48 GMT 2021","1009","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Sat Mar 20 14:15:31 GMT 2021","Sat Mar 20 14:15:46 GMT 2021","14776","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Check that avatar is shown","Check that avatar is shown",""
"passed","Sat Mar 20 13:45:13 GMT 2021","Sat Mar 20 13:45:29 GMT 2021","15908","","Buy horse with credit card - Logging with magic link","","Buy horse with credit card - Logging with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
