"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 29 17:40:38 GMT 2021","Thu Jul 29 17:41:12 GMT 2021","33940","","Generate stud horse","","Generate stud horse","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Jul 29 17:52:27 GMT 2021","Thu Jul 29 17:53:12 GMT 2021","45026","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate has a result on Result Page","Validate has a result on Result Page",""
"passed","Thu Jul 29 18:03:48 GMT 2021","Thu Jul 29 18:03:48 GMT 2021","361","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Proceed breeding steps","Proceed breeding steps",""
"passed","Thu Jul 29 19:04:48 GMT 2021","Thu Jul 29 19:05:02 GMT 2021","13470","","Paid racing with fee racing when logged by Magic Link","","Paid racing with fee racing when logged by Magic Link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Jul 29 19:28:55 GMT 2021","Thu Jul 29 19:29:19 GMT 2021","23972","","Free racing with Magic Link","","Free racing with Magic Link","Open the existing racing","Open the existing racing",""
"passed","Thu Jul 29 18:03:44 GMT 2021","Thu Jul 29 18:03:45 GMT 2021","432","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Check that avatar is shown then click on Breeding link","Check that avatar is shown then click on Breeding link",""
"failed","Thu Jul 29 18:49:20 GMT 2021","Thu Jul 29 18:50:05 GMT 2021","45020","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Click on Accept button to close the cookie popup","Click on Accept button to close the cookie popup",""
"failed","Thu Jul 29 19:09:37 GMT 2021","Thu Jul 29 19:10:10 GMT 2021","32942","","Paid racing with fee racing when logged by Magic Link","","Paid racing with fee racing when logged by Magic Link","Select a racehorses to add into the paid entry racing","Select a racehorses to add into the paid entry racing",""
"passed","Thu Jul 29 17:01:55 GMT 2021","Thu Jul 29 17:02:00 GMT 2021","4059","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Update metamask info","Update metamask info",""
"failed","Thu Jul 29 16:41:52 GMT 2021","Thu Jul 29 16:46:52 GMT 2021","300005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select female horse","Select female horse",""
"failed","Thu Jul 29 17:50:12 GMT 2021","Thu Jul 29 17:50:57 GMT 2021","45092","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate Marketplace Page has a racehorse","Validate Marketplace Page has a racehorse",""
"failed","Thu Jul 29 17:07:33 GMT 2021","Thu Jul 29 17:08:18 GMT 2021","45035","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Thu Jul 29 19:28:22 GMT 2021","Thu Jul 29 19:28:22 GMT 2021","289","","Free racing with Magic Link","","Free racing with Magic Link","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Thu Jul 29 18:23:02 GMT 2021","Thu Jul 29 18:23:07 GMT 2021","5139","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Thu Jul 29 18:24:53 GMT 2021","Thu Jul 29 18:27:08 GMT 2021","135060","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Thu Jul 29 16:30:11 GMT 2021","Thu Jul 29 16:30:26 GMT 2021","15027","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Check the detail payment","Check the detail payment",""
"failed","Thu Jul 29 18:27:08 GMT 2021","Thu Jul 29 18:32:08 GMT 2021","300007","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Thu Jul 29 17:50:57 GMT 2021","Thu Jul 29 17:51:42 GMT 2021","45026","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate Stud Service Page has a racehorse In Stud","Validate Stud Service Page has a racehorse In Stud",""
"failed","Thu Jul 29 17:35:31 GMT 2021","Thu Jul 29 17:40:31 GMT 2021","300006","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Check that we can not search this horse anymore","Check that we can not search this horse anymore",""
"failed","Thu Jul 29 17:49:27 GMT 2021","Thu Jul 29 17:50:12 GMT 2021","45046","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"failed","Thu Jul 29 17:11:19 GMT 2021","Thu Jul 29 17:12:04 GMT 2021","45024","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
"failed","Thu Jul 29 19:29:19 GMT 2021","Thu Jul 29 19:34:19 GMT 2021","300007","","Free racing with Magic Link","","Free racing with Magic Link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Thu Jul 29 18:50:22 GMT 2021","Thu Jul 29 18:50:27 GMT 2021","5051","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Go to My Settings page then click on Select Racehorse","Go to My Settings page then click on Select Racehorse",""
"failed","Thu Jul 29 16:19:26 GMT 2021","Thu Jul 29 16:20:11 GMT 2021","45039","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"failed","Thu Jul 29 18:56:02 GMT 2021","Thu Jul 29 18:58:17 GMT 2021","135075","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Wait until wallet icon is shown","Wait until wallet icon is shown",""
"failed","Thu Jul 29 18:59:02 GMT 2021","Thu Jul 29 19:04:02 GMT 2021","300013","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Thu Jul 29 19:18:34 GMT 2021","Thu Jul 29 19:23:34 GMT 2021","300020","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Thu Jul 29 18:08:57 GMT 2021","Thu Jul 29 18:10:43 GMT 2021","105725","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Jul 29 18:47:35 GMT 2021","Thu Jul 29 18:49:20 GMT 2021","104963","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Jul 29 18:32:23 GMT 2021","Thu Jul 29 18:32:24 GMT 2021","1535","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Thu Jul 29 18:42:25 GMT 2021","Thu Jul 29 18:47:25 GMT 2021","300004","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Verify that our order is performed","Verify that our order is performed",""
"failed","Thu Jul 29 17:35:01 GMT 2021","Thu Jul 29 17:35:31 GMT 2021","30007","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Confirm the transfer","Confirm the transfer",""
"passed","Thu Jul 29 17:58:59 GMT 2021","Thu Jul 29 17:59:10 GMT 2021","11583","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Jul 29 17:17:16 GMT 2021","Thu Jul 29 17:17:50 GMT 2021","33813","","Paid racing with fee racing when logged by Meta Mask","","Paid racing with fee racing when logged by Meta Mask","Open ZedRun page and click Connect Metamask","Open ZedRun page and click Connect Metamask",""
"passed","Thu Jul 29 19:09:37 GMT 2021","Thu Jul 29 19:09:37 GMT 2021","275","","Paid racing with fee racing when logged by Magic Link","","Paid racing with fee racing when logged by Magic Link","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Thu Jul 29 18:03:48 GMT 2021","Thu Jul 29 18:08:48 GMT 2021","300002","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Go to Activity page and check if we breed successfully","Go to Activity page and check if we breed successfully",""
"passed","Thu Jul 29 19:13:06 GMT 2021","Thu Jul 29 19:13:07 GMT 2021","975","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Thu Jul 29 18:58:26 GMT 2021","Thu Jul 29 18:59:02 GMT 2021","35989","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Jul 29 19:34:47 GMT 2021","Thu Jul 29 19:34:49 GMT 2021","1497","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Jul 29 18:32:24 GMT 2021","Thu Jul 29 18:32:25 GMT 2021","959","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Open new browser with magic link","Open new browser with magic link",""
"passed","Thu Jul 29 17:47:11 GMT 2021","Thu Jul 29 17:47:12 GMT 2021","987","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Open new browser with magic link","Open new browser with magic link",""
"failed","Thu Jul 29 17:09:49 GMT 2021","Thu Jul 29 17:10:34 GMT 2021","45025","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a race open on Events page","Validate has a race open on Events page",""
"passed","Thu Jul 29 18:32:10 GMT 2021","Thu Jul 29 18:32:23 GMT 2021","12974","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Jul 29 18:37:25 GMT 2021","Thu Jul 29 18:42:25 GMT 2021","300012","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Process the checkout with ETH","Process the checkout with ETH",""
"passed","Thu Jul 29 18:50:19 GMT 2021","Thu Jul 29 18:50:21 GMT 2021","1533","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Jul 29 19:18:29 GMT 2021","Thu Jul 29 19:18:34 GMT 2021","4947","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Thu Jul 29 17:47:09 GMT 2021","Thu Jul 29 17:47:11 GMT 2021","1549","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check mail inbox to get magic link","Check mail inbox to get magic link",""
