"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 18 09:58:26 GMT 2021","Sun Jul 18 09:58:29 GMT 2021","3275","","Generate stud horse","","Generate stud horse","Update metamask info","Update metamask info",""
"failed","Sun Jul 18 12:17:27 GMT 2021","Sun Jul 18 12:19:42 GMT 2021","135077","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Check that avatar is shown","Check that avatar is shown",""
"passed","Sun Jul 18 09:56:54 GMT 2021","Sun Jul 18 09:56:54 GMT 2021","587","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a race open on Events page","Validate has a race open on Events page",""
"failed","Sun Jul 18 11:11:52 GMT 2021","Sun Jul 18 11:12:37 GMT 2021","45024","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"passed","Sun Jul 18 09:30:56 GMT 2021","Sun Jul 18 09:30:59 GMT 2021","3347","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Update metamask info","Update metamask info",""
"passed","Sun Jul 18 12:00:17 GMT 2021","Sun Jul 18 12:00:22 GMT 2021","5186","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Update metamask info","Update metamask info",""
"failed","Sun Jul 18 10:09:41 GMT 2021","Sun Jul 18 10:10:26 GMT 2021","45019","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
"failed","Sun Jul 18 12:54:19 GMT 2021","Sun Jul 18 12:54:21 GMT 2021","1485","","Free racing with Magic Link","","Free racing with Magic Link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Sun Jul 18 12:00:34 GMT 2021","Sun Jul 18 12:00:36 GMT 2021","1488","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Sun Jul 18 10:36:14 GMT 2021","Sun Jul 18 10:41:14 GMT 2021","300004","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Proceed breeding steps","Proceed breeding steps",""
"failed","Sun Jul 18 12:37:03 GMT 2021","Sun Jul 18 12:37:03 GMT 2021","435","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Sun Jul 18 11:27:53 GMT 2021","Sun Jul 18 11:27:54 GMT 2021","1326","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Click on Accept button to close the cookie popup","Click on Accept button to close the cookie popup",""
"passed","Sun Jul 18 09:58:11 GMT 2021","Sun Jul 18 09:58:12 GMT 2021","922","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Wait until homepage is loading","Wait until homepage is loading",""
"passed","Sun Jul 18 11:01:48 GMT 2021","Sun Jul 18 11:01:49 GMT 2021","1306","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Sun Jul 18 11:27:44 GMT 2021","Sun Jul 18 11:27:53 GMT 2021","9297","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Sun Jul 18 10:51:30 GMT 2021","Sun Jul 18 10:51:32 GMT 2021","1201","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Sun Jul 18 12:11:11 GMT 2021","Sun Jul 18 12:11:56 GMT 2021","45060","","Paid racing with fee racing when logged by Magic Link","","Paid racing with fee racing when logged by Magic Link","Select a racehorses to add into the paid entry racing","Select a racehorses to add into the paid entry racing",""
"failed","Sun Jul 18 09:41:07 GMT 2021","Sun Jul 18 09:46:07 GMT 2021","300004","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select female horse","Select female horse",""
"failed","Sun Jul 18 11:53:00 GMT 2021","Sun Jul 18 11:55:15 GMT 2021","135052","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Wait until wallet icon is shown","Wait until wallet icon is shown",""
"failed","Sun Jul 18 12:37:01 GMT 2021","Sun Jul 18 12:37:03 GMT 2021","1464","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Sun Jul 18 12:37:03 GMT 2021","Sun Jul 18 12:39:18 GMT 2021","135099","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Sun Jul 18 12:00:36 GMT 2021","Sun Jul 18 12:01:09 GMT 2021","32547","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"passed","Sun Jul 18 09:58:17 GMT 2021","Sun Jul 18 09:58:18 GMT 2021","922","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Confirm the transfer","Confirm the transfer",""
"failed","Sun Jul 18 11:52:58 GMT 2021","Sun Jul 18 11:52:59 GMT 2021","1523","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
