"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 01 09:35:30 GMT 2021","Mon Feb 01 09:35:30 GMT 2021","0","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Verify that our order is performed","Verify that our order is performed",""
"passed","Mon Feb 01 09:34:39 GMT 2021","Mon Feb 01 09:34:43 GMT 2021","4145","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Mon Feb 01 09:39:01 GMT 2021","Mon Feb 01 09:39:01 GMT 2021","1","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Apply the discount coupon : EXPIRED_COUPON","Apply the discount coupon : EXPIRED_COUPON",""
"passed","Mon Feb 01 09:36:01 GMT 2021","Mon Feb 01 09:36:05 GMT 2021","4288","","Purchase horse with ETH","","Purchase horse with ETH","Update metamask info","Update metamask info",""
"failed","Mon Feb 01 09:39:09 GMT 2021","Mon Feb 01 09:39:19 GMT 2021","10019","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Mon Feb 01 09:36:25 GMT 2021","Mon Feb 01 09:36:25 GMT 2021","4","","Purchase horse with ETH","","Purchase horse with ETH","Verify that our order is performed","Verify that our order is performed",""
"failed","Mon Feb 01 09:40:11 GMT 2021","Mon Feb 01 09:40:21 GMT 2021","10011","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Mon Feb 01 09:40:29 GMT 2021","Mon Feb 01 09:40:39 GMT 2021","10007","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Mon Feb 01 09:34:21 GMT 2021","Mon Feb 01 09:34:24 GMT 2021","2608","","Generate stud horse","","Generate stud horse","Select mate horse","Select mate horse",""
"failed","Mon Feb 01 09:37:16 GMT 2021","Mon Feb 01 09:37:26 GMT 2021","10005","","Buy horse with credit card","","Buy horse with credit card","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"passed","Mon Feb 01 09:36:25 GMT 2021","Mon Feb 01 09:36:25 GMT 2021","1","","Purchase horse with ETH","","Purchase horse with ETH","Purchase horse with ETH","Purchase horse with ETH",""
"passed","Mon Feb 01 09:37:26 GMT 2021","Mon Feb 01 09:37:26 GMT 2021","1","","Buy horse with credit card","","Buy horse with credit card","Process payment by cash","Process payment by cash",""
