"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 01 09:32:17 GMT 2021","Mon Feb 01 09:32:27 GMT 2021","10005","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Mon Feb 01 09:32:07 GMT 2021","Mon Feb 01 09:32:07 GMT 2021","221","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Mon Feb 01 09:27:54 GMT 2021","Mon Feb 01 09:27:58 GMT 2021","3910","","Purchase horse with ETH","","Purchase horse with ETH","Update metamask info","Update metamask info",""
"failed","Mon Feb 01 09:26:47 GMT 2021","Mon Feb 01 09:26:57 GMT 2021","10007","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Check that avatar is shown then click on Marketplace to select first horse","Check that avatar is shown then click on Marketplace to select first horse",""
"failed","Mon Feb 01 09:31:39 GMT 2021","Mon Feb 01 09:31:49 GMT 2021","10011","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Mon Feb 01 09:29:57 GMT 2021","Mon Feb 01 09:29:59 GMT 2021","1970","","Dual horse cash","","Dual horse cash","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Mon Feb 01 09:27:51 GMT 2021","Mon Feb 01 09:27:51 GMT 2021","1","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"failed","Mon Feb 01 09:27:58 GMT 2021","Mon Feb 01 09:28:08 GMT 2021","10024","","Purchase horse with ETH","","Purchase horse with ETH","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Mon Feb 01 09:31:10 GMT 2021","Mon Feb 01 09:31:20 GMT 2021","10023","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Mon Feb 01 09:31:03 GMT 2021","Mon Feb 01 09:31:03 GMT 2021","1","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Apply the discount coupon : INVALID_COUPON","Apply the discount coupon : INVALID_COUPON",""
