"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 02 13:28:29 GMT 2021","Tue Feb 02 13:28:37 GMT 2021","8342","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Feb 02 13:28:23 GMT 2021","Tue Feb 02 13:28:24 GMT 2021","609","","Validate the some pages on app work well","","Validate the some pages on app work well","Validate has a racehorse existing on Stable Page","Validate has a racehorse existing on Stable Page",""
"passed","Tue Feb 02 13:39:15 GMT 2021","Tue Feb 02 13:39:19 GMT 2021","4819","","Purchase horse with ETH","","Purchase horse with ETH","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"passed","Tue Feb 02 14:14:50 GMT 2021","Tue Feb 02 14:14:53 GMT 2021","2974","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Update metamask info","Update metamask info",""
"failed","Tue Feb 02 13:57:10 GMT 2021","Tue Feb 02 14:02:10 GMT 2021","300008","","Dual horse cash","","Dual horse cash","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Tue Feb 02 13:55:56 GMT 2021","Tue Feb 02 13:55:59 GMT 2021","2796","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Feb 02 13:55:59 GMT 2021","Tue Feb 02 13:56:08 GMT 2021","9317","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Feb 02 13:45:49 GMT 2021","Tue Feb 02 13:45:53 GMT 2021","4658","","Buy horse with credit card","","Buy horse with credit card","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"failed","Tue Feb 02 13:50:53 GMT 2021","Tue Feb 02 13:55:53 GMT 2021","300006","","Buy horse with credit card","","Buy horse with credit card","Verify that our order is performed","Verify that our order is performed",""
"passed","Tue Feb 02 13:28:10 GMT 2021","Tue Feb 02 13:28:19 GMT 2021","8730","","Validate the some pages on app work well","","Validate the some pages on app work well","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Feb 02 13:28:20 GMT 2021","Tue Feb 02 13:28:21 GMT 2021","902","","Validate the some pages on app work well","","Validate the some pages on app work well","Validate Marketplace Page has a racehorse","Validate Marketplace Page has a racehorse",""
"failed","Tue Feb 02 15:04:20 GMT 2021","Tue Feb 02 15:09:20 GMT 2021","300004","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"passed","Tue Feb 02 14:15:36 GMT 2021","Tue Feb 02 14:15:40 GMT 2021","3421","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Check that avatar is shown","Check that avatar is shown",""
"passed","Tue Feb 02 14:14:25 GMT 2021","Tue Feb 02 14:14:28 GMT 2021","3036","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Feb 02 14:14:28 GMT 2021","Tue Feb 02 14:14:38 GMT 2021","9501","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Feb 02 13:44:33 GMT 2021","Tue Feb 02 13:44:37 GMT 2021","3501","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Tue Feb 02 13:28:23 GMT 2021","Tue Feb 02 13:28:23 GMT 2021","404","","Validate the some pages on app work well","","Validate the some pages on app work well","Validate has a result on Result Page","Validate has a result on Result Page",""
"passed","Tue Feb 02 13:07:02 GMT 2021","Tue Feb 02 13:07:06 GMT 2021","3560","","Generate stud horse","","Generate stud horse","Check that avatar is shown then click on Breeding link","Check that avatar is shown then click on Breeding link",""
"passed","Tue Feb 02 14:15:03 GMT 2021","Tue Feb 02 14:15:23 GMT 2021","19600","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Select a racehorses stable to the open gate","Select a racehorses stable to the open gate",""
"failed","Tue Feb 02 14:42:30 GMT 2021","Tue Feb 02 14:47:02 GMT 2021","272304","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Tue Feb 02 13:13:05 GMT 2021","Tue Feb 02 13:18:05 GMT 2021","300003","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"failed","Tue Feb 02 13:23:05 GMT 2021","Tue Feb 02 13:28:05 GMT 2021","300004","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Verify that our order is performed","Verify that our order is performed",""
"passed","Tue Feb 02 14:15:25 GMT 2021","Tue Feb 02 14:15:28 GMT 2021","2951","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Feb 02 13:12:42 GMT 2021","Tue Feb 02 13:12:47 GMT 2021","4878","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Check that avatar is shown then click on Marketplace to select first horse","Check that avatar is shown then click on Marketplace to select first horse",""
"passed","Tue Feb 02 13:07:07 GMT 2021","Tue Feb 02 13:07:09 GMT 2021","1916","","Generate stud horse","","Generate stud horse","Select female horse","Select female horse",""
"passed","Tue Feb 02 13:44:37 GMT 2021","Tue Feb 02 13:45:35 GMT 2021","57892","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Tue Feb 02 14:20:41 GMT 2021","Tue Feb 02 14:25:14 GMT 2021","272237","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Tue Feb 02 13:45:40 GMT 2021","Tue Feb 02 13:45:49 GMT 2021","9188","","Buy horse with credit card","","Buy horse with credit card","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Feb 02 14:14:17 GMT 2021","Tue Feb 02 14:14:23 GMT 2021","5601","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Apply the discount coupon : EXPIRED_COUPON","Apply the discount coupon : EXPIRED_COUPON",""
"passed","Tue Feb 02 14:14:53 GMT 2021","Tue Feb 02 14:15:02 GMT 2021","8696","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Tue Feb 02 13:12:31 GMT 2021","Tue Feb 02 13:12:33 GMT 2021","2832","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Tue Feb 02 13:45:37 GMT 2021","Tue Feb 02 13:45:40 GMT 2021","2701","","Buy horse with credit card","","Buy horse with credit card","Update metamask info","Update metamask info",""
