"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 22 16:40:31 GMT 2021","Fri Jan 22 16:40:31 GMT 2021","653","","Dual horse cash","","Dual horse cash","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Fri Jan 22 16:01:44 GMT 2021","Fri Jan 22 16:01:50 GMT 2021","5693","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"passed","Fri Jan 22 16:01:30 GMT 2021","Fri Jan 22 16:01:44 GMT 2021","14276","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Fri Jan 22 16:18:47 GMT 2021","Fri Jan 22 16:18:53 GMT 2021","5763","","Purchase horse with ETH","","Purchase horse with ETH","Update metamask info","Update metamask info",""
"passed","Fri Jan 22 15:39:15 GMT 2021","Fri Jan 22 15:39:16 GMT 2021","1058","","Generate stud horse","","Generate stud horse","Proceed breeding steps","Proceed breeding steps",""
"failed","Fri Jan 22 15:55:52 GMT 2021","Fri Jan 22 15:56:22 GMT 2021","30165","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Process the checkout with ETH","Process the checkout with ETH",""
"passed","Fri Jan 22 16:02:16 GMT 2021","Fri Jan 22 16:02:23 GMT 2021","6832","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"failed","Fri Jan 22 17:51:35 GMT 2021","Fri Jan 22 17:51:35 GMT 2021","754","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Fri Jan 22 15:50:52 GMT 2021","Fri Jan 22 15:55:52 GMT 2021","300009","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"passed","Fri Jan 22 15:44:40 GMT 2021","Fri Jan 22 15:44:45 GMT 2021","4512","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"failed","Fri Jan 22 17:21:08 GMT 2021","Fri Jan 22 17:21:08 GMT 2021","650","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Fri Jan 22 17:16:07 GMT 2021","Fri Jan 22 17:21:08 GMT 2021","300059","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Fri Jan 22 17:51:34 GMT 2021","Fri Jan 22 17:51:35 GMT 2021","647","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Fri Jan 22 17:09:46 GMT 2021","Fri Jan 22 17:10:00 GMT 2021","14343","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Update metamask info","Update metamask info",""
"passed","Fri Jan 22 16:07:23 GMT 2021","Fri Jan 22 16:07:39 GMT 2021","16892","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Process the checkout with banking account and check value","Process the checkout with banking account and check value",""
"failed","Fri Jan 22 16:41:42 GMT 2021","Fri Jan 22 16:41:48 GMT 2021","5007","","Buy horse with credit card","","Buy horse with credit card","Process payment by cash","Process payment by cash",""
"failed","Fri Jan 22 16:59:19 GMT 2021","Fri Jan 22 16:59:29 GMT 2021","10043","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"passed","Fri Jan 22 16:01:26 GMT 2021","Fri Jan 22 16:01:30 GMT 2021","4094","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Fri Jan 22 16:13:13 GMT 2021","Fri Jan 22 16:13:43 GMT 2021","30425","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Fri Jan 22 17:31:31 GMT 2021","Fri Jan 22 17:36:31 GMT 2021","300022","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"failed","Fri Jan 22 16:48:05 GMT 2021","Fri Jan 22 16:53:05 GMT 2021","300064","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Apply the discount coupon : INVALID_COUPON","Apply the discount coupon : INVALID_COUPON",""
"passed","Fri Jan 22 15:39:08 GMT 2021","Fri Jan 22 15:39:12 GMT 2021","3976","","Generate stud horse","","Generate stud horse","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"failed","Fri Jan 22 16:25:27 GMT 2021","Fri Jan 22 16:30:27 GMT 2021","300020","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Click on Deposit button and check if ETH balance is updated","Click on Deposit button and check if ETH balance is updated",""
"passed","Fri Jan 22 16:40:51 GMT 2021","Fri Jan 22 16:41:32 GMT 2021","41130","","Buy horse with credit card","","Buy horse with credit card","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
