"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 15 13:50:05 GMT 2021","Thu Apr 15 13:50:18 GMT 2021","12584","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Apr 15 14:35:27 GMT 2021","Thu Apr 15 14:35:41 GMT 2021","14017","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"passed","Thu Apr 15 13:49:50 GMT 2021","Thu Apr 15 13:49:52 GMT 2021","2348","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate Marketplace Page has a racehorse","Validate Marketplace Page has a racehorse",""
"failed","Thu Apr 15 14:16:25 GMT 2021","Thu Apr 15 14:18:25 GMT 2021","120010","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Check if ETH balance is updated","Check if ETH balance is updated",""
"passed","Thu Apr 15 14:11:25 GMT 2021","Thu Apr 15 14:11:31 GMT 2021","5353","","Pick horses and add into the entry with fee racing when logged by Meta Mask","","Pick horses and add into the entry with fee racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Thu Apr 15 14:07:30 GMT 2021","Thu Apr 15 14:09:30 GMT 2021","120004","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Go to Activity page and check if we breed successfully","Go to Activity page and check if we breed successfully",""
"passed","Thu Apr 15 14:14:24 GMT 2021","Thu Apr 15 14:14:25 GMT 2021","491","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Thu Apr 15 14:30:49 GMT 2021","Thu Apr 15 14:30:50 GMT 2021","1169","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Thu Apr 15 13:47:24 GMT 2021","Thu Apr 15 13:49:24 GMT 2021","120005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Go to Stable page and verify there is a new horse","Go to Stable page and verify there is a new horse",""
"passed","Thu Apr 15 14:41:42 GMT 2021","Thu Apr 15 14:42:26 GMT 2021","44396","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Thu Apr 15 14:19:55 GMT 2021","Thu Apr 15 14:20:00 GMT 2021","4918","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Thu Apr 15 13:52:52 GMT 2021","Thu Apr 15 13:53:33 GMT 2021","40044","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Check that we can not search this horse anymore","Check that we can not search this horse anymore",""
"passed","Thu Apr 15 14:36:01 GMT 2021","Thu Apr 15 14:36:02 GMT 2021","1183","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Apr 15 13:49:52 GMT 2021","Thu Apr 15 13:49:53 GMT 2021","519","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate Stud Service Page has a racehorse In Stud","Validate Stud Service Page has a racehorse In Stud",""
"passed","Thu Apr 15 13:32:57 GMT 2021","Thu Apr 15 13:32:58 GMT 2021","1612","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Verify that our order is performed","Verify that our order is performed",""
"passed","Thu Apr 15 14:41:39 GMT 2021","Thu Apr 15 14:41:40 GMT 2021","1221","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Apr 15 13:50:22 GMT 2021","Thu Apr 15 13:50:22 GMT 2021","718","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Go to My Settings page then click on Select Racehorse","Go to My Settings page then click on Select Racehorse",""
"passed","Thu Apr 15 14:11:03 GMT 2021","Thu Apr 15 14:11:09 GMT 2021","5836","","Pick horses and add into the entry with fee racing when logged by Meta Mask","","Pick horses and add into the entry with fee racing when logged by Meta Mask","Update metamask info","Update metamask info",""
"passed","Thu Apr 15 13:56:21 GMT 2021","Thu Apr 15 13:56:22 GMT 2021","725","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate Stud Service Page has a racehorse In Stud","Validate Stud Service Page has a racehorse In Stud",""
"passed","Thu Apr 15 14:35:21 GMT 2021","Thu Apr 15 14:35:27 GMT 2021","6350","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Thu Apr 15 13:56:24 GMT 2021","Thu Apr 15 13:56:25 GMT 2021","883","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
"passed","Thu Apr 15 13:56:17 GMT 2021","Thu Apr 15 13:56:19 GMT 2021","1568","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Thu Apr 15 14:35:00 GMT 2021","Thu Apr 15 14:35:21 GMT 2021","21021","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Apr 15 13:58:28 GMT 2021","Thu Apr 15 13:58:44 GMT 2021","15457","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Thu Apr 15 13:49:28 GMT 2021","Thu Apr 15 13:49:32 GMT 2021","4434","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Update metamask info","Update metamask info",""
"passed","Thu Apr 15 14:18:53 GMT 2021","Thu Apr 15 14:19:51 GMT 2021","57577","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"passed","Thu Apr 15 13:32:31 GMT 2021","Thu Apr 15 13:32:45 GMT 2021","14045","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Apr 15 14:23:26 GMT 2021","Thu Apr 15 14:25:26 GMT 2021","120002","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Verify that our order is performed","Verify that our order is performed",""
"passed","Thu Apr 15 14:46:54 GMT 2021","Thu Apr 15 14:46:55 GMT 2021","1172","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Apr 15 13:49:49 GMT 2021","Thu Apr 15 13:49:50 GMT 2021","1339","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Thu Apr 15 13:50:18 GMT 2021","Thu Apr 15 13:50:22 GMT 2021","4177","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Wait until homepage is loading","Wait until homepage is loading",""
"passed","Thu Apr 15 14:20:38 GMT 2021","Thu Apr 15 14:20:40 GMT 2021","1253","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Check mail inbox to get magic link","Check mail inbox to get magic link",""
