"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 15 05:03:34 GMT 2021","Mon Mar 15 05:04:25 GMT 2021","51365","","Pick horses and add into the entry with fee racing when logged by Meta Mask","","Pick horses and add into the entry with fee racing when logged by Meta Mask","Select a racehorses to add into the paid entry racing","Select a racehorses to add into the paid entry racing",""
"passed","Mon Mar 15 04:37:39 GMT 2021","Mon Mar 15 04:37:44 GMT 2021","4740","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Mon Mar 15 04:48:08 GMT 2021","Mon Mar 15 04:48:08 GMT 2021","2","","Purchase horse with ETH","","Purchase horse with ETH","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"passed","Mon Mar 15 05:29:31 GMT 2021","Mon Mar 15 05:29:38 GMT 2021","6996","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Check that avatar is shown","Check that avatar is shown",""
"passed","Mon Mar 15 04:44:20 GMT 2021","Mon Mar 15 04:44:35 GMT 2021","15286","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Mon Mar 15 04:47:45 GMT 2021","Mon Mar 15 04:47:45 GMT 2021","2","","Buy horse with credit card","","Buy horse with credit card","Check the detail payment","Check the detail payment",""
"passed","Mon Mar 15 04:46:53 GMT 2021","Mon Mar 15 04:47:09 GMT 2021","15949","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Mon Mar 15 04:42:11 GMT 2021","Mon Mar 15 04:44:11 GMT 2021","120003","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Verify that our order is performed","Verify that our order is performed",""
"passed","Mon Mar 15 05:36:04 GMT 2021","Mon Mar 15 05:37:03 GMT 2021","59471","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Click on Deposit button and check if ETH balance is updated","Click on Deposit button and check if ETH balance is updated",""
"failed","Mon Mar 15 05:38:10 GMT 2021","Mon Mar 15 05:38:42 GMT 2021","32876","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"passed","Mon Mar 15 05:39:16 GMT 2021","Mon Mar 15 05:39:16 GMT 2021","269","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"passed","Mon Mar 15 05:37:34 GMT 2021","Mon Mar 15 05:38:10 GMT 2021","35523","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Mon Mar 15 05:07:04 GMT 2021","Mon Mar 15 05:07:10 GMT 2021","5583","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Mon Mar 15 04:51:52 GMT 2021","Mon Mar 15 04:52:09 GMT 2021","17007","","Generate stud horse","","Generate stud horse","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Mon Mar 15 04:47:31 GMT 2021","Mon Mar 15 04:47:45 GMT 2021","13914","","Buy horse with credit card","","Buy horse with credit card","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Mon Mar 15 05:30:49 GMT 2021","Mon Mar 15 05:32:49 GMT 2021","120006","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Apply the discount coupon : INVALID_COUPON","Apply the discount coupon : INVALID_COUPON",""
"passed","Mon Mar 15 04:37:44 GMT 2021","Mon Mar 15 04:37:59 GMT 2021","15332","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Mon Mar 15 04:52:11 GMT 2021","Mon Mar 15 04:52:20 GMT 2021","9614","","Generate stud horse","","Generate stud horse","Open new browser with magic link","Open new browser with magic link",""
"failed","Mon Mar 15 04:47:45 GMT 2021","Mon Mar 15 04:47:45 GMT 2021","11","","Buy horse with credit card","","Buy horse with credit card","Process the checkout with banking account and check value","Process the checkout with banking account and check value",""
"failed","Mon Mar 15 04:44:45 GMT 2021","Mon Mar 15 04:46:45 GMT 2021","120002","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Apply the discount coupon : ANH_TEST","Apply the discount coupon : ANH_TEST",""
"passed","Mon Mar 15 05:04:29 GMT 2021","Mon Mar 15 05:04:35 GMT 2021","5630","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Mon Mar 15 05:03:01 GMT 2021","Mon Mar 15 05:03:07 GMT 2021","5910","","Pick horses and add into the entry with fee racing when logged by Meta Mask","","Pick horses and add into the entry with fee racing when logged by Meta Mask","Update metamask info","Update metamask info",""
"passed","Mon Mar 15 05:39:03 GMT 2021","Mon Mar 15 05:39:04 GMT 2021","1015","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Mon Mar 15 05:17:27 GMT 2021","Mon Mar 15 05:17:34 GMT 2021","6779","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Mon Mar 15 04:51:04 GMT 2021","Mon Mar 15 04:51:42 GMT 2021","37909","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Mon Mar 15 05:07:28 GMT 2021","Mon Mar 15 05:07:35 GMT 2021","7089","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Mon Mar 15 04:48:35 GMT 2021","Mon Mar 15 04:48:37 GMT 2021","1270","","Generate stud horse","","Generate stud horse","Filter with male horse","Filter with male horse",""
"failed","Mon Mar 15 04:50:37 GMT 2021","Mon Mar 15 04:50:37 GMT 2021","4","","Generate stud horse","","Generate stud horse","Proceed putting horse to stud service","Proceed putting horse to stud service",""
"failed","Mon Mar 15 04:38:11 GMT 2021","Mon Mar 15 04:40:11 GMT 2021","120009","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ANH_TEST","Apply the discount coupon : ANH_TEST",""
"passed","Mon Mar 15 04:50:55 GMT 2021","Mon Mar 15 04:51:04 GMT 2021","8943","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Open new browser with magic link","Open new browser with magic link",""
"passed","Mon Mar 15 05:35:28 GMT 2021","Mon Mar 15 05:36:04 GMT 2021","35343","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Mon Mar 15 04:46:48 GMT 2021","Mon Mar 15 04:46:53 GMT 2021","4556","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Update metamask info","Update metamask info",""
"passed","Mon Mar 15 05:17:34 GMT 2021","Mon Mar 15 05:18:03 GMT 2021","28858","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"passed","Mon Mar 15 05:37:23 GMT 2021","Mon Mar 15 05:37:24 GMT 2021","1040","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Mon Mar 15 04:47:21 GMT 2021","Mon Mar 15 04:47:23 GMT 2021","2045","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a racehorse existing on Stable Page","Validate has a racehorse existing on Stable Page",""
"failed","Mon Mar 15 05:10:10 GMT 2021","Mon Mar 15 05:12:10 GMT 2021","120061","","Generate stud horse","","Generate stud horse","Scroll to horse with index","Scroll to horse with index",""
"passed","Mon Mar 15 05:33:57 GMT 2021","Mon Mar 15 05:34:56 GMT 2021","59422","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Mon Mar 15 05:07:35 GMT 2021","Mon Mar 15 05:09:35 GMT 2021","120030","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Click on Deposit button and check if ETH balance is updated","Click on Deposit button and check if ETH balance is updated",""
"passed","Mon Mar 15 05:17:10 GMT 2021","Mon Mar 15 05:17:27 GMT 2021","17350","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Mon Mar 15 05:09:46 GMT 2021","Mon Mar 15 05:10:03 GMT 2021","17196","","Generate stud horse","","Generate stud horse","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Mon Mar 15 04:50:38 GMT 2021","Mon Mar 15 04:50:54 GMT 2021","16770","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
