"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 23 09:42:27 GMT 2021","Sat Jan 23 09:42:27 GMT 2021","1","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Sat Jan 23 09:42:25 GMT 2021","Sat Jan 23 09:42:25 GMT 2021","1","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Sat Jan 23 09:42:25 GMT 2021","Sat Jan 23 09:42:25 GMT 2021","10","","Dual horse cash","","Dual horse cash","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sat Jan 23 09:42:29 GMT 2021","Sat Jan 23 09:42:30 GMT 2021","1074","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sat Jan 23 09:42:24 GMT 2021","Sat Jan 23 09:42:24 GMT 2021","3","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Process payment by cash","Process payment by cash",""
"failed","Sat Jan 23 09:42:24 GMT 2021","Sat Jan 23 09:42:24 GMT 2021","2","","Use fixed discount voucher to buy horse with card while logging in with Metamask","","Use fixed discount voucher to buy horse with card while logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Sat Jan 23 09:42:27 GMT 2021","Sat Jan 23 09:42:27 GMT 2021","1","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Sat Jan 23 09:42:23 GMT 2021","Sat Jan 23 09:42:23 GMT 2021","1","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Sat Jan 23 09:42:24 GMT 2021","Sat Jan 23 09:42:24 GMT 2021","3","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Go to Marketplace and buy horse with discount - Payment with ETH","Go to Marketplace and buy horse with discount - Payment with ETH",""
"failed","Sat Jan 23 09:42:27 GMT 2021","Sat Jan 23 09:42:27 GMT 2021","3","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Sat Jan 23 09:42:24 GMT 2021","Sat Jan 23 09:42:24 GMT 2021","1","","Generate stud horse","","Generate stud horse","Select female horse","Select female horse",""
"failed","Sat Jan 23 09:42:24 GMT 2021","Sat Jan 23 09:42:24 GMT 2021","1","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
