"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 22 16:49:00 GMT 2021","Fri Jan 22 16:49:00 GMT 2021","0","","Dual horse cash","","Dual horse cash","dual horse","dual horse",""
"failed","Fri Jan 22 17:25:23 GMT 2021","Fri Jan 22 17:30:23 GMT 2021","300036","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Fri Jan 22 16:28:00 GMT 2021","Fri Jan 22 16:28:00 GMT 2021","252","","Purchase horse with ETH","","Purchase horse with ETH","Purchase horse with ETH","Purchase horse with ETH",""
"passed","Fri Jan 22 16:20:59 GMT 2021","Fri Jan 22 16:21:06 GMT 2021","6651","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Fri Jan 22 16:05:55 GMT 2021","Fri Jan 22 16:10:55 GMT 2021","300004","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"passed","Fri Jan 22 16:21:24 GMT 2021","Fri Jan 22 16:21:31 GMT 2021","7096","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"passed","Fri Jan 22 15:37:21 GMT 2021","Fri Jan 22 15:37:31 GMT 2021","9513","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Fri Jan 22 15:42:49 GMT 2021","Fri Jan 22 15:42:53 GMT 2021","3808","","Generate stud horse","","Generate stud horse","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"passed","Fri Jan 22 17:07:03 GMT 2021","Fri Jan 22 17:07:17 GMT 2021","13866","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Fri Jan 22 15:37:31 GMT 2021","Fri Jan 22 15:37:34 GMT 2021","3775","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Check that avatar is shown then click on Wallet","Check that avatar is shown then click on Wallet",""
"passed","Fri Jan 22 15:48:22 GMT 2021","Fri Jan 22 15:48:35 GMT 2021","12873","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ZED-15-DOLLARS","Apply the discount coupon : ZED-15-DOLLARS",""
"failed","Fri Jan 22 16:49:00 GMT 2021","Fri Jan 22 16:49:00 GMT 2021","385","","Dual horse cash","","Dual horse cash","Open new browser with magic link","Open new browser with magic link",""
"passed","Fri Jan 22 16:27:36 GMT 2021","Fri Jan 22 16:28:00 GMT 2021","24240","","Purchase horse with ETH","","Purchase horse with ETH","Go to Marketplace and buy horse by ETH","Go to Marketplace and buy horse by ETH",""
"passed","Fri Jan 22 16:27:07 GMT 2021","Fri Jan 22 16:27:13 GMT 2021","6466","","Purchase horse with ETH","","Purchase horse with ETH","Update metamask info","Update metamask info",""
"passed","Fri Jan 22 16:33:13 GMT 2021","Fri Jan 22 16:33:44 GMT 2021","30922","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Fri Jan 22 17:40:46 GMT 2021","Fri Jan 22 17:40:47 GMT 2021","982","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Fri Jan 22 15:54:27 GMT 2021","Fri Jan 22 15:59:27 GMT 2021","300014","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Apply the discount coupon : ZED-10-PERCENT","Apply the discount coupon : ZED-10-PERCENT",""
"failed","Fri Jan 22 16:43:59 GMT 2021","Fri Jan 22 16:48:59 GMT 2021","300019","","Dual horse cash","","Dual horse cash","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Fri Jan 22 18:00:51 GMT 2021","Fri Jan 22 18:00:52 GMT 2021","765","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
