"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 11 08:06:49 GMT 2021","Thu Feb 11 08:06:54 GMT 2021","5193","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Check that avatar is shown","Check that avatar is shown",""
"failed","Thu Feb 11 08:06:55 GMT 2021","Thu Feb 11 08:08:55 GMT 2021","120007","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Feb 11 07:41:30 GMT 2021","Thu Feb 11 07:41:30 GMT 2021","1","","Purchase horse with ETH","","Purchase horse with ETH","Verify that our order is performed","Verify that our order is performed",""
"passed","Thu Feb 11 08:06:30 GMT 2021","Thu Feb 11 08:06:35 GMT 2021","4781","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Update metamask info","Update metamask info",""
"failed","Thu Feb 11 07:41:30 GMT 2021","Thu Feb 11 07:41:30 GMT 2021","3","","Purchase horse with ETH","","Purchase horse with ETH","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"failed","Thu Feb 11 08:14:59 GMT 2021","Thu Feb 11 08:16:59 GMT 2021","120048","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Thu Feb 11 07:50:56 GMT 2021","Thu Feb 11 07:52:56 GMT 2021","120006","","Pick horses to gate and process Next to Run event by logging in with magic link","","Pick horses to gate and process Next to Run event by logging in with magic link","Select a racehorses to add into the paid entry racing","Select a racehorses to add into the paid entry racing",""
"failed","Thu Feb 11 07:41:13 GMT 2021","Thu Feb 11 07:41:13 GMT 2021","1","","Buy horse with credit card","","Buy horse with credit card","Check the detail payment","Check the detail payment",""
"failed","Thu Feb 11 08:16:59 GMT 2021","Thu Feb 11 08:18:59 GMT 2021","120032","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Thu Feb 11 07:41:30 GMT 2021","Thu Feb 11 07:41:30 GMT 2021","5","","Purchase horse with ETH","","Purchase horse with ETH","Apply the discount coupon : ANH_TEST","Apply the discount coupon : ANH_TEST",""
"passed","Thu Feb 11 07:43:54 GMT 2021","Thu Feb 11 07:43:58 GMT 2021","3795","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Thu Feb 11 08:08:56 GMT 2021","Thu Feb 11 08:10:56 GMT 2021","120049","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Check that avatar is shown then click on Marketplace to select first horse","Check that avatar is shown then click on Marketplace to select first horse",""
"passed","Thu Feb 11 07:40:59 GMT 2021","Thu Feb 11 07:41:03 GMT 2021","3878","","Buy horse with credit card","","Buy horse with credit card","Update metamask info","Update metamask info",""
"failed","Thu Feb 11 07:41:30 GMT 2021","Thu Feb 11 07:41:30 GMT 2021","29","","Purchase horse with ETH","","Purchase horse with ETH","Check the detail payment","Check the detail payment",""
"passed","Thu Feb 11 07:41:03 GMT 2021","Thu Feb 11 07:41:13 GMT 2021","10049","","Buy horse with credit card","","Buy horse with credit card","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Feb 11 08:27:03 GMT 2021","Thu Feb 11 08:29:03 GMT 2021","120018","","Pick horses to gate and process Next to Run event by logging in with magic link","","Pick horses to gate and process Next to Run event by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Feb 11 08:14:58 GMT 2021","Thu Feb 11 08:14:59 GMT 2021","1252","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Feb 11 07:46:32 GMT 2021","Thu Feb 11 07:46:36 GMT 2021","3784","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Thu Feb 11 07:46:36 GMT 2021","Thu Feb 11 07:46:46 GMT 2021","10808","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Feb 11 07:41:13 GMT 2021","Thu Feb 11 07:41:13 GMT 2021","2","","Buy horse with credit card","","Buy horse with credit card","Verify that our order is processing","Verify that our order is processing",""
"failed","Thu Feb 11 08:21:02 GMT 2021","Thu Feb 11 08:23:02 GMT 2021","120007","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Thu Feb 11 08:04:28 GMT 2021","Thu Feb 11 08:04:28 GMT 2021","2","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Apply the discount coupon : ANH_TEST","Apply the discount coupon : ANH_TEST",""
"passed","Thu Feb 11 07:40:04 GMT 2021","Thu Feb 11 07:40:15 GMT 2021","11537","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Feb 11 07:45:17 GMT 2021","Thu Feb 11 07:45:27 GMT 2021","10729","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Feb 11 08:19:01 GMT 2021","Thu Feb 11 08:21:01 GMT 2021","120012","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Thu Feb 11 07:55:03 GMT 2021","Thu Feb 11 07:55:14 GMT 2021","11077","","Pick horses to gate and process Next to Run event","","Pick horses to gate and process Next to Run event","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Feb 11 07:40:29 GMT 2021","Thu Feb 11 07:40:31 GMT 2021","1632","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Check the detail payment","Check the detail payment",""
"failed","Thu Feb 11 08:37:06 GMT 2021","Thu Feb 11 08:37:07 GMT 2021","286","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Thu Feb 11 07:40:49 GMT 2021","Thu Feb 11 07:40:54 GMT 2021","5549","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Go to Marketplace and select first horse","Go to Marketplace and select first horse",""
"passed","Thu Feb 11 07:40:54 GMT 2021","Thu Feb 11 07:40:56 GMT 2021","1796","","Use percent discount voucher to buy horse with card while logging in with Metamask","","Use percent discount voucher to buy horse with card while logging in with Metamask","Apply the discount coupon : ANH_TEST","Apply the discount coupon : ANH_TEST",""
"failed","Thu Feb 11 07:41:13 GMT 2021","Thu Feb 11 07:41:13 GMT 2021","11","","Buy horse with credit card","","Buy horse with credit card","Process the checkout with banking account and check value","Process the checkout with banking account and check value",""
"failed","Thu Feb 11 08:21:02 GMT 2021","Thu Feb 11 08:21:02 GMT 2021","253","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Thu Feb 11 07:40:00 GMT 2021","Thu Feb 11 07:40:04 GMT 2021","4005","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","","Use fixed discount voucher to buy horse with ETH while logging in with Metamask","Update metamask info","Update metamask info",""
"failed","Thu Feb 11 08:08:56 GMT 2021","Thu Feb 11 08:08:56 GMT 2021","262","","Use expired discount voucher when logging in with Metamask","","Use expired discount voucher when logging in with Metamask","Open new browser with magic link","Open new browser with magic link",""
