"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 22 13:15:57 GMT 2021","Thu Apr 22 13:16:07 GMT 2021","9891","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Apr 22 12:45:13 GMT 2021","Thu Apr 22 12:45:14 GMT 2021","887","","Generate stud horse","","Generate stud horse","Filter with male horse","Filter with male horse",""
"passed","Thu Apr 22 12:23:49 GMT 2021","Thu Apr 22 12:23:57 GMT 2021","8144","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Apr 22 13:36:16 GMT 2021","Thu Apr 22 13:36:28 GMT 2021","12348","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Thu Apr 22 13:55:58 GMT 2021","Thu Apr 22 13:56:58 GMT 2021","59849","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Thu Apr 22 13:41:24 GMT 2021","Thu Apr 22 13:41:35 GMT 2021","10395","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"passed","Thu Apr 22 13:31:02 GMT 2021","Thu Apr 22 13:31:03 GMT 2021","860","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Thu Apr 22 13:19:45 GMT 2021","Thu Apr 22 13:19:49 GMT 2021","3633","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Click on Accept button to close the cookie popup","Click on Accept button to close the cookie popup",""
"passed","Thu Apr 22 12:49:58 GMT 2021","Thu Apr 22 12:49:59 GMT 2021","205","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Thu Apr 22 12:49:59 GMT 2021","Thu Apr 22 12:50:00 GMT 2021","1056","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Thu Apr 22 14:02:12 GMT 2021","Thu Apr 22 14:02:13 GMT 2021","998","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Thu Apr 22 12:44:39 GMT 2021","Thu Apr 22 12:44:42 GMT 2021","3124","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Wait until homepage is loading","Wait until homepage is loading",""
"failed","Thu Apr 22 12:29:01 GMT 2021","Thu Apr 22 12:34:01 GMT 2021","300006","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select female horse","Select female horse",""
"passed","Thu Apr 22 13:55:10 GMT 2021","Thu Apr 22 13:55:58 GMT 2021","47977","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Thu Apr 22 12:23:27 GMT 2021","Thu Apr 22 12:23:43 GMT 2021","16075","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Go back to user stable and check if horse is transferred","Go back to user stable and check if horse is transferred",""
"passed","Thu Apr 22 13:31:03 GMT 2021","Thu Apr 22 13:31:09 GMT 2021","6105","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Go to My Settings page then click on Select Racehorse","Go to My Settings page then click on Select Racehorse",""
"passed","Thu Apr 22 13:57:12 GMT 2021","Thu Apr 22 13:57:13 GMT 2021","1027","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Apr 22 12:44:23 GMT 2021","Thu Apr 22 12:44:24 GMT 2021","828","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a result on Result Page","Validate has a result on Result Page",""
"passed","Thu Apr 22 13:30:49 GMT 2021","Thu Apr 22 13:31:01 GMT 2021","11813","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Thu Apr 22 12:50:06 GMT 2021","Thu Apr 22 12:50:17 GMT 2021","11083","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Apr 22 13:14:51 GMT 2021","Thu Apr 22 13:14:53 GMT 2021","2414","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Go to Stable page and verify there is a new horse","Go to Stable page and verify there is a new horse",""
"passed","Thu Apr 22 13:19:35 GMT 2021","Thu Apr 22 13:19:45 GMT 2021","10389","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Apr 22 12:44:21 GMT 2021","Thu Apr 22 12:44:22 GMT 2021","1091","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate Marketplace Page has a racehorse","Validate Marketplace Page has a racehorse",""
"passed","Thu Apr 22 12:44:48 GMT 2021","Thu Apr 22 12:44:49 GMT 2021","936","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Confirm the transfer","Confirm the transfer",""
"passed","Thu Apr 22 12:44:05 GMT 2021","Thu Apr 22 12:44:09 GMT 2021","3322","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Update metamask info","Update metamask info",""
"passed","Thu Apr 22 13:31:09 GMT 2021","Thu Apr 22 13:31:15 GMT 2021","5844","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Select horse then click on Transfer button","Select horse then click on Transfer button",""
"passed","Thu Apr 22 13:47:11 GMT 2021","Thu Apr 22 13:47:21 GMT 2021","10870","","Login to ZedRun with Metamask","","Login to ZedRun with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Apr 22 14:02:13 GMT 2021","Thu Apr 22 14:02:20 GMT 2021","7115","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"passed","Thu Apr 22 12:44:31 GMT 2021","Thu Apr 22 12:44:39 GMT 2021","7759","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Thu Apr 22 13:15:53 GMT 2021","Thu Apr 22 13:15:57 GMT 2021","4495","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Thu Apr 22 12:50:17 GMT 2021","Thu Apr 22 12:50:18 GMT 2021","1015","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"passed","Thu Apr 22 12:45:02 GMT 2021","Thu Apr 22 12:45:10 GMT 2021","7979","","Generate stud horse","","Generate stud horse","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Thu Apr 22 13:47:40 GMT 2021","Thu Apr 22 13:49:55 GMT 2021","135105","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"passed","Thu Apr 22 13:41:35 GMT 2021","Thu Apr 22 13:41:48 GMT 2021","12689","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Thu Apr 22 12:34:01 GMT 2021","Thu Apr 22 12:39:01 GMT 2021","300004","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Proceed breeding steps","Proceed breeding steps",""
"passed","Thu Apr 22 13:19:31 GMT 2021","Thu Apr 22 13:19:35 GMT 2021","4267","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Thu Apr 22 13:20:02 GMT 2021","Thu Apr 22 13:20:03 GMT 2021","917","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Open new browser with magic link","Open new browser with magic link",""
"failed","Thu Apr 22 12:44:01 GMT 2021","Thu Apr 22 12:44:03 GMT 2021","1492","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Go to Stable page and verify there is a new horse","Go to Stable page and verify there is a new horse",""
"failed","Thu Apr 22 13:30:48 GMT 2021","Thu Apr 22 13:30:48 GMT 2021","1","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Check the detail payment","Check the detail payment",""
