"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 18 10:26:30 GMT 2021","Sun Jul 18 10:31:30 GMT 2021","300004","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Proceed breeding steps","Proceed breeding steps",""
"failed","Sun Jul 18 09:26:16 GMT 2021","Sun Jul 18 09:31:16 GMT 2021","300019","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Check that avatar is shown then click on Breeding link","Check that avatar is shown then click on Breeding link",""
"failed","Sun Jul 18 09:58:56 GMT 2021","Sun Jul 18 09:58:57 GMT 2021","222","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Open new browser with magic link","Open new browser with magic link",""
"passed","Sun Jul 18 09:05:38 GMT 2021","Sun Jul 18 09:05:47 GMT 2021","9081","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Sun Jul 18 10:52:04 GMT 2021","Sun Jul 18 10:52:05 GMT 2021","1132","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Sun Jul 18 10:15:45 GMT 2021","Sun Jul 18 10:15:45 GMT 2021","333","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Sun Jul 18 10:10:43 GMT 2021","Sun Jul 18 10:15:43 GMT 2021","300009","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sun Jul 18 12:54:54 GMT 2021","Sun Jul 18 12:59:54 GMT 2021","300002","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sun Jul 18 11:13:13 GMT 2021","Sun Jul 18 11:18:13 GMT 2021","300007","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sun Jul 18 11:38:16 GMT 2021","Sun Jul 18 11:38:17 GMT 2021","1552","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Sun Jul 18 11:02:53 GMT 2021","Sun Jul 18 11:07:53 GMT 2021","300006","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Process the checkout with ETH","Process the checkout with ETH",""
"failed","Sun Jul 18 10:57:06 GMT 2021","Sun Jul 18 11:02:06 GMT 2021","300021","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Sun Jul 18 09:52:28 GMT 2021","Sun Jul 18 09:52:28 GMT 2021","893","","Pick horses and add into the entry with fee racing when logged by Meta Mask","","Pick horses and add into the entry with fee racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"passed","Sun Jul 18 11:45:53 GMT 2021","Sun Jul 18 11:45:56 GMT 2021","2984","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"failed","Sun Jul 18 10:41:48 GMT 2021","Sun Jul 18 10:46:48 GMT 2021","300023","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Click on Deposit button and type amount to deposit","Click on Deposit button and type amount to deposit",""
"failed","Sun Jul 18 12:39:07 GMT 2021","Sun Jul 18 12:44:07 GMT 2021","300011","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Sun Jul 18 10:31:30 GMT 2021","Sun Jul 18 10:36:30 GMT 2021","300003","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Go to Activity page and check if we breed successfully","Go to Activity page and check if we breed successfully",""
"failed","Sun Jul 18 10:15:43 GMT 2021","Sun Jul 18 10:15:45 GMT 2021","1561","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
