"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 30 04:35:40 GMT 2021","Fri Jul 30 04:40:40 GMT 2021","300005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Go to Activity page and check if we breed successfully","Go to Activity page and check if we breed successfully",""
"passed","Fri Jul 30 07:08:20 GMT 2021","Fri Jul 30 07:08:22 GMT 2021","1127","","Free racing with Magic Link","","Free racing with Magic Link","Open new browser with magic link","Open new browser with magic link",""
"failed","Fri Jul 30 04:25:40 GMT 2021","Fri Jul 30 04:30:40 GMT 2021","300006","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select female horse","Select female horse",""
"failed","Fri Jul 30 06:26:34 GMT 2021","Fri Jul 30 06:31:07 GMT 2021","273555","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"passed","Fri Jul 30 06:16:58 GMT 2021","Fri Jul 30 06:17:03 GMT 2021","5157","","Paid racing with fee racing when logged by Meta Mask","","Paid racing with fee racing when logged by Meta Mask","Update metamask info","Update metamask info",""
"passed","Fri Jul 30 05:26:09 GMT 2021","Fri Jul 30 05:26:09 GMT 2021","2","","Paid racing with fee racing when logged by Meta Mask","","Paid racing with fee racing when logged by Meta Mask","Get token","Get token",""
"failed","Fri Jul 30 04:40:40 GMT 2021","Fri Jul 30 04:45:40 GMT 2021","300005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Go to Stable page and verify there is a new horse","Go to Stable page and verify there is a new horse",""
"passed","Fri Jul 30 06:48:20 GMT 2021","Fri Jul 30 06:48:22 GMT 2021","1508","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Fri Jul 30 06:25:33 GMT 2021","Fri Jul 30 06:25:33 GMT 2021","354","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Select horse then click on Transfer button","Select horse then click on Transfer button",""
"passed","Fri Jul 30 05:26:25 GMT 2021","Fri Jul 30 05:26:25 GMT 2021","1","","Paid racing with fee racing when logged by Meta Mask","","Paid racing with fee racing when logged by Meta Mask","Assign horse to paid races","Assign horse to paid races",""
"failed","Fri Jul 30 05:12:55 GMT 2021","Fri Jul 30 05:13:25 GMT 2021","30008","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Confirm the transfer","Confirm the transfer",""
"failed","Fri Jul 30 06:22:23 GMT 2021","Fri Jul 30 06:24:26 GMT 2021","123334","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Fri Jul 30 06:43:01 GMT 2021","Fri Jul 30 06:43:06 GMT 2021","4886","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Fri Jul 30 04:52:25 GMT 2021","Fri Jul 30 04:53:10 GMT 2021","45027","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate Marketplace Page has a racehorse","Validate Marketplace Page has a racehorse",""
"passed","Fri Jul 30 07:09:10 GMT 2021","Fri Jul 30 07:09:16 GMT 2021","5947","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"passed","Fri Jul 30 05:25:23 GMT 2021","Fri Jul 30 05:25:25 GMT 2021","1548","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Fri Jul 30 05:26:39 GMT 2021","Fri Jul 30 05:31:12 GMT 2021","272928","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Fri Jul 30 05:02:10 GMT 2021","Fri Jul 30 05:02:55 GMT 2021","45036","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Wait until homepage is loading","Wait until homepage is loading",""
"failed","Fri Jul 30 05:01:18 GMT 2021","Fri Jul 30 05:02:10 GMT 2021","51845","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Fri Jul 30 05:47:12 GMT 2021","Fri Jul 30 05:52:12 GMT 2021","300004","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Check if ETH balance is updated","Check if ETH balance is updated",""
"failed","Fri Jul 30 05:25:30 GMT 2021","Fri Jul 30 05:25:41 GMT 2021","11122","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"passed","Fri Jul 30 07:08:54 GMT 2021","Fri Jul 30 07:09:07 GMT 2021","13439","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Fri Jul 30 04:51:40 GMT 2021","Fri Jul 30 04:52:25 GMT 2021","45039","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate the component displays on Home Page","Validate the component displays on Home Page",""
"failed","Fri Jul 30 05:18:32 GMT 2021","Fri Jul 30 05:19:25 GMT 2021","52257","","Generate stud horse","","Generate stud horse","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Fri Jul 30 04:00:49 GMT 2021","Fri Jul 30 04:00:54 GMT 2021","4455","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Update metamask info","Update metamask info",""
"failed","Fri Jul 30 05:13:25 GMT 2021","Fri Jul 30 05:18:25 GMT 2021","300006","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Check that we can not search this horse anymore","Check that we can not search this horse anymore",""
"failed","Fri Jul 30 06:31:17 GMT 2021","Fri Jul 30 06:32:10 GMT 2021","53235","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"passed","Fri Jul 30 06:42:46 GMT 2021","Fri Jul 30 06:42:58 GMT 2021","12816","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"passed","Fri Jul 30 05:31:12 GMT 2021","Fri Jul 30 05:31:12 GMT 2021","573","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Check that avatar is shown then click on Breeding link","Check that avatar is shown then click on Breeding link",""
"failed","Fri Jul 30 06:11:55 GMT 2021","Fri Jul 30 06:16:55 GMT 2021","300002","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Verify that our order is performed","Verify that our order is performed",""
"passed","Fri Jul 30 05:26:04 GMT 2021","Fri Jul 30 05:26:05 GMT 2021","708","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
