"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 13 19:26:00 GMT 2021","Tue Jul 13 19:26:06 GMT 2021","5632","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Update metamask info","Update metamask info",""
"failed","Tue Jul 13 17:44:39 GMT 2021","Tue Jul 13 17:45:24 GMT 2021","45078","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Check that avatar is shown then click on Breeding link","Check that avatar is shown then click on Breeding link",""
"failed","Tue Jul 13 15:59:47 GMT 2021","Tue Jul 13 16:04:47 GMT 2021","300003","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Verify that our order is performed","Verify that our order is performed",""
"failed","Tue Jul 13 17:08:43 GMT 2021","Tue Jul 13 17:09:17 GMT 2021","33822","","Generate stud horse","","Generate stud horse","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Jul 13 16:10:10 GMT 2021","Tue Jul 13 16:10:44 GMT 2021","34695","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Jul 13 19:53:38 GMT 2021","Tue Jul 13 19:53:40 GMT 2021","1878","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Tue Jul 13 19:26:06 GMT 2021","Tue Jul 13 19:26:42 GMT 2021","36127","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Jul 13 16:04:47 GMT 2021","Tue Jul 13 16:05:02 GMT 2021","15027","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Check the detail payment","Check the detail payment",""
"failed","Tue Jul 13 19:37:30 GMT 2021","Tue Jul 13 19:42:30 GMT 2021","300034","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Tue Jul 13 16:37:10 GMT 2021","Tue Jul 13 16:42:10 GMT 2021","300008","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Wait for the web is loading successfully","Wait for the web is loading successfully",""
"failed","Tue Jul 13 19:03:37 GMT 2021","Tue Jul 13 19:03:38 GMT 2021","292","","Transfer horse to other wallet address - Logging with magic link","","Transfer horse to other wallet address - Logging with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Tue Jul 13 17:03:36 GMT 2021","Tue Jul 13 17:08:36 GMT 2021","300007","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Check that we can not search this horse anymore","Check that we can not search this horse anymore",""
"failed","Tue Jul 13 19:42:30 GMT 2021","Tue Jul 13 19:43:15 GMT 2021","45042","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Select a racehorses to add into the paid entry racing","Select a racehorses to add into the paid entry racing",""
"failed","Tue Jul 13 18:42:01 GMT 2021","Tue Jul 13 18:42:46 GMT 2021","45028","","Give a name to newborn horse when logging in with Metamask","","Give a name to newborn horse when logging in with Metamask","Click on Accept button to close the cookie popup","Click on Accept button to close the cookie popup",""
"failed","Tue Jul 13 19:37:28 GMT 2021","Tue Jul 13 19:37:30 GMT 2021","1843","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Tue Jul 13 17:50:24 GMT 2021","Tue Jul 13 17:55:24 GMT 2021","300005","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Select female horse","Select female horse",""
"failed","Tue Jul 13 16:26:29 GMT 2021","Tue Jul 13 16:31:29 GMT 2021","300005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Go to Activity page and check if we breed successfully","Go to Activity page and check if we breed successfully",""
"failed","Tue Jul 13 20:10:57 GMT 2021","Tue Jul 13 20:10:58 GMT 2021","476","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Tue Jul 13 20:33:17 GMT 2021","Tue Jul 13 20:34:02 GMT 2021","45085","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"failed","Tue Jul 13 18:58:34 GMT 2021","Tue Jul 13 18:58:34 GMT 2021","2","","Buy horse with credit card - Logging with Metamask","","Buy horse with credit card - Logging with Metamask","Check the detail payment","Check the detail payment",""
"failed","Tue Jul 13 20:28:16 GMT 2021","Tue Jul 13 20:28:17 GMT 2021","455","","Pick horses and add into the free racing when logged by Magic Link","","Pick horses and add into the free racing when logged by Magic Link","Open new browser with magic link","Open new browser with magic link",""
"failed","Tue Jul 13 18:32:53 GMT 2021","Tue Jul 13 18:35:08 GMT 2021","135040","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Tue Jul 13 19:32:28 GMT 2021","Tue Jul 13 19:37:28 GMT 2021","300010","","Pick horses and add into the entry with fee racing when logged by Magic Link","","Pick horses and add into the entry with fee racing when logged by Magic Link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Tue Jul 13 19:23:39 GMT 2021","Tue Jul 13 19:23:41 GMT 2021","2028","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Tue Jul 13 20:44:06 GMT 2021","Tue Jul 13 20:49:06 GMT 2021","300060","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Switch back to ZedRun page and verify login successful","Switch back to ZedRun page and verify login successful",""
"failed","Tue Jul 13 20:10:56 GMT 2021","Tue Jul 13 20:10:57 GMT 2021","1918","","Withdraw from ZED balance by logging in with magic link","","Withdraw from ZED balance by logging in with magic link","Check mail inbox to get magic link","Check mail inbox to get magic link",""
"failed","Tue Jul 13 16:45:10 GMT 2021","Tue Jul 13 16:45:55 GMT 2021","45026","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Validate has a result on Result Page","Validate has a result on Result Page",""
"failed","Tue Jul 13 18:26:00 GMT 2021","Tue Jul 13 18:31:00 GMT 2021","300007","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Check if ETH balance is updated","Check if ETH balance is updated",""
"failed","Tue Jul 13 18:35:08 GMT 2021","Tue Jul 13 18:40:08 GMT 2021","300006","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Click on Withdraw button and check if ZED balance is updated","Click on Withdraw button and check if ZED balance is updated",""
"failed","Tue Jul 13 17:45:24 GMT 2021","Tue Jul 13 17:50:24 GMT 2021","300010","","Generate stud horse when logging in with magic link","","Generate stud horse when logging in with magic link","Select mate horse","Select mate horse",""
"failed","Tue Jul 13 20:44:05 GMT 2021","Tue Jul 13 20:44:06 GMT 2021","652","","Login to ZedRun with magic link","","Login to ZedRun with magic link","Open new browser with magic link","Open new browser with magic link",""
"failed","Tue Jul 13 15:52:20 GMT 2021","Tue Jul 13 15:54:02 GMT 2021","101815","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Tue Jul 13 18:10:32 GMT 2021","Tue Jul 13 18:11:07 GMT 2021","35313","","Pick horses and add into the entry with fee racing when logged by Meta Mask","","Pick horses and add into the entry with fee racing when logged by Meta Mask","Open ZedRun page and click Connect Metamask","Open ZedRun page and click Connect Metamask",""
"failed","Tue Jul 13 17:28:51 GMT 2021","Tue Jul 13 17:29:36 GMT 2021","45027","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate has a Winning on Winning Page","Validate has a Winning on Winning Page",""
"passed","Tue Jul 13 16:36:32 GMT 2021","Tue Jul 13 16:36:36 GMT 2021","4050","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Update metamask info","Update metamask info",""
"failed","Tue Jul 13 16:53:06 GMT 2021","Tue Jul 13 16:58:06 GMT 2021","300006","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Go to My Settings page then click on Select Racehorse","Go to My Settings page then click on Select Racehorse",""
"failed","Tue Jul 13 17:26:36 GMT 2021","Tue Jul 13 17:27:21 GMT 2021","45025","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Validate Stud Service Page has a racehorse In Stud","Validate Stud Service Page has a racehorse In Stud",""
"failed","Tue Jul 13 17:20:06 GMT 2021","Tue Jul 13 17:25:06 GMT 2021","300012","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Tue Jul 13 19:31:42 GMT 2021","Tue Jul 13 19:32:27 GMT 2021","45046","","Pick horses and add into the free racing when logged by Meta Mask","","Pick horses and add into the free racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"failed","Tue Jul 13 19:53:40 GMT 2021","Tue Jul 13 19:55:55 GMT 2021","135071","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Tue Jul 13 19:48:38 GMT 2021","Tue Jul 13 19:53:38 GMT 2021","300019","","Deposite to ZED balance by logging in with magic link","","Deposite to ZED balance by logging in with magic link","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
"failed","Tue Jul 13 17:15:03 GMT 2021","Tue Jul 13 17:20:03 GMT 2021","300011","","Do the smoke test to validate the Zed Run works well when logged by Email","","Do the smoke test to validate the Zed Run works well when logged by Email","Open ZedRun page and input valid email to generate magic link","Open ZedRun page and input valid email to generate magic link",""
