"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 31 13:04:44 GMT 2021","Sat Jul 31 13:09:44 GMT 2021","300005","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Go to Activity page and check if we breed successfully","Go to Activity page and check if we breed successfully",""
"passed","Sat Jul 31 12:28:13 GMT 2021","Sat Jul 31 12:28:17 GMT 2021","4450","","Purchase horse with ETH - Logging with Metamask","","Purchase horse with ETH - Logging with Metamask","Update metamask info","Update metamask info",""
"passed","Sat Jul 31 14:05:19 GMT 2021","Sat Jul 31 14:05:24 GMT 2021","4761","","Deposite to ZED balance by logging in with Metamask","","Deposite to ZED balance by logging in with Metamask","Update metamask info","Update metamask info",""
"passed","Sat Jul 31 14:32:19 GMT 2021","Sat Jul 31 14:32:19 GMT 2021","305","","Give a name to newborn horse when logging in with magic link","","Give a name to newborn horse when logging in with magic link","Wait until wallet icon is shown","Wait until wallet icon is shown",""
"passed","Sat Jul 31 14:21:00 GMT 2021","Sat Jul 31 14:21:09 GMT 2021","8457","","Paid racing with fee racing when logged by Meta Mask","","Paid racing with fee racing when logged by Meta Mask","Open ZedRun page and click Connect Metamask","Open ZedRun page and click Connect Metamask",""
"passed","Sat Jul 31 13:32:22 GMT 2021","Sat Jul 31 13:32:23 GMT 2021","1090","","Transfer horse to other wallet address - Logging with Metamask","","Transfer horse to other wallet address - Logging with Metamask","Wait until homepage is loading","Wait until homepage is loading",""
"passed","Sat Jul 31 14:15:51 GMT 2021","Sat Jul 31 14:15:53 GMT 2021","1535","","Withdraw from ETH balance by logging in with Metamask","","Withdraw from ETH balance by logging in with Metamask","Wait until wallet icon is shown then click on Wallet icon","Wait until wallet icon is shown then click on Wallet icon",""
"failed","Sat Jul 31 14:21:09 GMT 2021","Sat Jul 31 14:26:09 GMT 2021","300024","","Paid racing with fee racing when logged by Meta Mask","","Paid racing with fee racing when logged by Meta Mask","Select a racehorses and add into the free racing","Select a racehorses and add into the free racing",""
"failed","Sat Jul 31 12:49:44 GMT 2021","Sat Jul 31 12:54:44 GMT 2021","300031","","Generate stud horse when logging in Metamask","","Generate stud horse when logging in Metamask","Select mate horse","Select mate horse",""
"failed","Sat Jul 31 13:09:53 GMT 2021","Sat Jul 31 13:09:57 GMT 2021","4196","","[Smoke Test] Validate the some pages on app work well","","[Smoke Test] Validate the some pages on app work well","Open ZedRun page and click Connnect Metamask","Open ZedRun page and click Connnect Metamask",""
"failed","Sat Jul 31 14:33:20 GMT 2021","Sat Jul 31 14:38:20 GMT 2021","300008","","Free racing when logged by Meta Mask","","Free racing when logged by Meta Mask","Check that the ZED app is loading successfully","Check that the ZED app is loading successfully",""
"failed","Sat Jul 31 13:25:26 GMT 2021","Sat Jul 31 13:26:11 GMT 2021","45021","","Generate stud horse","","Generate stud horse","Click on Filter button in My Stable page","Click on Filter button in My Stable page",""
